lat,lon
43.083158,-77.6658949
43.0826729,-77.6659
43.0820319,-77.6659614
43.0817417,-77.6660024
43.0814913,-77.6660731
43.0811975,-77.6662093
43.080924,-77.6663977
43.0806991,-77.6665842
43.0804848,-77.6668043
43.0802241,-77.6671328
43.0798835,-77.6676422
43.0798115,-77.6678113
43.0796858,-77.6680775
43.0794232,-77.6686054
43.079244,-77.6693442
43.0791568,-77.6700893
43.0791825,-77.6705644
43.0792067,-77.6709998
43.0792393,-77.6713567
43.079294,-77.6717134
43.0794829,-77.6725146
43.0797518,-77.6731601
43.0801162,-77.6737616
43.0805555,-77.6742892
43.0809921,-77.6747251
43.0811641,-77.6749597
43.0812347,-77.6750726
43.0813308,-77.6752184
